1	寻找有效的C2C平台信息可信度计算方法,识别平台虚假信息和冗余信息,为C2C平台用户选择和购买商品提供依据和参考.
3	本文设计的知识问答服务架构在红色历史人物数字资源的图谱半自动构建、知识推理与智能交互方面具有优越性,提升了用户知识服务体验.
1	基于当前对科研项目的研究主要以数据统计和计量分析为主,以NSF 资助的海洋酸化相关研究的项目数据为例,从项目主题的角度研究科研立项的重点和演化,并对未来投入趋势加以预测.
2	采用文献内容分析法,结合先生自述资料,梳理先生从业实践与研究成果;采用文献计量法分析先生学术影响.
1	重大突发公共事件的发生通常伴随着网络空间强烈的情绪传染,对网络社会负面情绪的治理是信息时代公共治理领域的重要问题.
2	基于美国大学图书馆参与数字人文课程教育的成功案例,从参与教育的网站、场所、馆员、方式、项目发布、维护和资源推介等方面进行调研分析.
1	网络舆情反转现象愈演愈烈,研究反转网络舆情的特点和分类,对于深入分析反转网络舆情的发生,有效预防网络舆情反转的危害有重要现实意义.
2	首先介绍可穿戴计算机设备的发展现状,系统梳理可穿戴计算机设备的相关概念、技术和应用,着重对其领域应用进行调研,分析现有信息服务模型的不足,提出了嵌入可穿戴计算机设备的信息服务模型.
2	将专利管理过程划分为创造、申请、运用、保护四个阶段，对不同阶段的风险来源进行分析，结合风险来源分析的结果选择适当的指标衡量风险。
1	明确虚拟学术社区用户知识交流效果评价指标,对用户服务质量提升,优化社区结构等工作具有重要意义.
3	研究表明：Altmetrics的实质是补充性计量指标，具有及时、多样、开放等特点；计量工具在数据采集与处理、指标分类与组织、服务内容与方式等方面各具特色；实证分析主要由指标的相关关系和结构维度两方面构成；Altmetrics为影响力评价、图书馆服务和机构知识库建设注入新的活力；未来研究应当加强数据保障、工具优化、指标组织、应用拓展等方面的深化探索与实践。
3	微博舆情传播本质分为传播机理和传播规律.传播机理包括传播路径、传播过程、传播模型;传播规律包括多米诺效应和羊群效应.
2	采用文献调研、内容分析的方法,遵循Ngai的两阶段研究方法,搜索相关论文,关注每篇论文跟社交媒体研究相关的理论基础、技术支撑、具体应用与实证结果.
1	结合数据起源的内容和长期保存特点,全面研究和分析数据起源在长期保存中的应用,为长期保存系统组织管理起源提供参考.
3	北京高校图书馆研究生文献检索课呈现出良好的发展态势,与该地区教育事业的总体发展相适应,但内容体系的完备性和内容的深入性等方面存在不足.针对这一现状,结合该课程的发展方向,提出改进教学的思考和建议.
2	依据态势感知理论,从态势要素提取、态势理解、态势投射三个方面构建突发公共卫生事件话题-情感演化的理论模型,以微博平台数据为样本,探究新冠疫情话题背后的网民情感演变.
2	分别选取丁香园社区的热门版块和冷门版块共计4 个版块的84 日内的病例帖作为样本,进行时序性调研分析,并计算各版块的生命周期分布.
1	探讨已有公共数字文化资源整合项目中不同行为主体扮演的角色及其职能,为未来类似项目的建设提供借鉴与参考.
1	对在线开放课程供给模式和管理机制的分析有利于深入理解公共信息服务社会共治模式构建与运行的机理.
3	在突发公共卫生事件特征和健康码产品驱动因素作用下,健康码信息采集环节的采集方法和采集内容,信息处理环节的制码流程、更新纠错,信息应用环节的终端展示和精准研判,信息存储环节的保存和安全管理方式存在差异,综合作用导致健康码信息共享难现象的形成.从政策规范、技术平台、组织管理3个视角分析共享机制现状,提出系统化的对策建议,促进政府数字资源共享机制的构建.
3	当前的学科交叉研究分为宏观态势和微观内容两个层面,研究主体内容分为学科交叉类型研究、学科交叉动力学研究以及学科交叉性测度指标研究.学科交叉的测度属性分为学科多样性和学科聚合性,其测度指标分为3类:学科多样性测度指标、学科聚合性测度指标和综合性测度指标.学科交叉度计量的实践研究可以分为3类:基于交叉度的统计指标的计量、基于社会网络指标的计量以及利用多种指标的综合性计量.
3	研究发现,当前我国情报学研究可分为信息组织与检索、文献计量与科学评价、竞争情报与知识管理、情报学学科整体研究4个领域,大部分作者研究并不局限于单个领域,竞争情报和文献计量领域界限明显,较少有作者将彼此作为次要隶属社群.
1	高校毕业生就业工作是高等教育工作的重要内容和关键环节,已经越来越受到各级政府和领导的高度重视.随着科技的进步和社会的发展,对信息化建设水平的要求也随之提升.
3	从时间分布图谱、空间分布图谱、主题演进图谱和知识基础图谱4个维度反映科学数据管理的研究现状,并结合国内相关研究及发展状况提出相关建议.
2	本文基于超级IP和生态学的理论方法,从内容、人格、流量和场景四个维度对数字图书馆生态系统的信息人、信息资源和信息环境三部分进行详细了的问题分析和优化构建.
1	为更好地发挥智库的功能,对智库的治理显得尤为必要.不仅要探讨智库治理问题产生的原因,还要探讨治理路径.
1	旨在调查分析澳大利亚图书馆空间导视标识的标准指南及其内容,为我国图书馆空间标识设计指南制定工作提供参考与借鉴.
3	研究发现,智慧数据的本质在于通过数据演进或结构设计实现数据规范精准及价值增值,其价值取向呈现出多元化复合特征,其技术体系旨在提供"可计算-可理解-可会话"的逐级演进支撑,其应用框架核心在于精准实现"数据"与"用户"的智慧交互,未来智慧数据理论体系还需在大"数据科学"观下围绕理论体系构建、数据权利治理、技术均衡发展、服务层级深化、理论实践交融等不断完善.
1	对全民防控新冠肺炎疫情时期国内在线阅读服务的举措进行总结与分析,为我国在线阅读服务发展提供建议.
1	通过对海量物流、人流、资金流、商务流、信息流等多种数据流进行量化分析处理,挖掘涉恐线索,在此基础上建立反恐预警机制和情报决策体系是预防和打击恐怖主义的有效手段.
